Timestamp,Mode,FPS,Contrast_Gain,Visibility_Score
01:01:27,AI MODE: CLEAR (Pass-Through),6.64,0.0,100.0
01:01:27,AI MODE: CLEAR (Pass-Through),56.72,0.0,100.0
01:01:27,AI MODE: CLEAR (Pass-Through),54.74,0.0,100.0
01:01:27,AI MODE: CLEAR (Pass-Through),6.8,0.0,100.0
01:01:27,AI MODE: CLEAR (Pass-Through),50.22,0.0,100.0
01:01:27,AI MODE: CLEAR (Pass-Through),55.69,0.0,100.0
01:01:28,AI MODE: CLEAR (Pass-Through),6.07,0.0,100.0
01:01:28,AI MODE: CLEAR (Pass-Through),58.33,0.0,100.0
01:01:28,AI MODE: CLEAR (Pass-Through),57.83,0.0,100.0
01:01:28,AI MODE: CLEAR (Pass-Through),7.1,0.0,100.0
01:01:28,AI MODE: CLEAR (Pass-Through),54.26,0.0,100.0
01:01:28,AI MODE: CLEAR (Pass-Through),55.94,0.0,100.0
01:01:28,AI MODE: CLEAR (Pass-Through),7.03,0.0,100.0
01:01:28,AI MODE: CLEAR (Pass-Through),52.22,0.0,100.0
01:01:28,AI MODE: CLEAR (Pass-Through),51.62,0.0,100.0
01:01:28,AI MODE: CLEAR (Pass-Through),6.43,0.0,100.0
01:01:28,AI MODE: CLEAR (Pass-Through),21.18,0.0,100.0
01:01:28,AI MODE: CLEAR (Pass-Through),56.37,0.0,100.0
01:01:28,AI MODE: CLEAR (Pass-Through),6.9,0.0,100.0
01:01:28,AI MODE: CLEAR (Pass-Through),47.0,0.0,100.0
01:01:29,AI MODE: CLEAR (Pass-Through),51.79,0.0,100.0
01:01:29,AI MODE: CLEAR (Pass-Through),6.43,0.0,100.0
01:01:29,AI MODE: CLEAR (Pass-Through),55.57,0.0,100.0
01:01:29,AI MODE: CLEAR (Pass-Through),55.69,0.0,100.0
01:01:29,AI MODE: CLEAR (Pass-Through),7.3,0.0,100.0
01:01:29,AI MODE: CLEAR (Pass-Through),48.51,0.0,100.0
01:01:29,AI MODE: CLEAR (Pass-Through),13.29,0.0,100.0
01:01:29,AI MODE: CLEAR (Pass-Through),4.85,0.0,100.0
01:01:29,AI MODE: CLEAR (Pass-Through),31.18,0.0,100.0
01:01:29,AI MODE: CLEAR (Pass-Through),38.65,0.0,100.0
01:01:30,AI MODE: CLEAR (Pass-Through),4.96,0.0,100.0
01:01:30,AI MODE: CLEAR (Pass-Through),32.82,0.0,100.0
01:01:30,AI MODE: CLEAR (Pass-Through),35.53,0.0,100.0
01:01:30,AI MODE: CLEAR (Pass-Through),5.62,0.0,100.0
01:01:30,AI MODE: CLEAR (Pass-Through),35.31,0.0,100.0
01:01:30,AI MODE: CLEAR (Pass-Through),38.55,0.0,100.0
01:01:30,AI MODE: CLEAR (Pass-Through),4.36,0.0,100.0
01:01:30,AI MODE: CLEAR (Pass-Through),37.18,0.0,100.0
01:01:30,AI MODE: CLEAR (Pass-Through),37.87,0.0,100.0
01:01:31,AI MODE: CLEAR (Pass-Through),5.42,0.0,100.0
01:01:31,AI MODE: CLEAR (Pass-Through),39.69,0.0,100.0
01:01:31,AI MODE: CLEAR (Pass-Through),37.0,0.0,100.0
01:01:31,AI MODE: CLEAR (Pass-Through),5.49,0.0,100.0
01:01:31,AI MODE: CLEAR (Pass-Through),37.61,0.0,100.0
01:01:31,AI MODE: CLEAR (Pass-Through),50.42,0.0,100.0
01:01:31,AI MODE: CLEAR (Pass-Through),6.29,0.0,100.0
01:01:31,AI MODE: CLEAR (Pass-Through),16.17,0.0,100.0
01:01:31,AI MODE: CLEAR (Pass-Through),53.33,0.0,100.0
01:01:31,AI MODE: CLEAR (Pass-Through),6.4,0.0,100.0
01:01:31,AI MODE: CLEAR (Pass-Through),50.24,0.0,100.0
01:01:31,AI MODE: CLEAR (Pass-Through),47.62,0.0,100.0
01:01:32,AI MODE: CLEAR (Pass-Through),6.79,0.0,100.0
01:01:32,AI MODE: CLEAR (Pass-Through),54.23,0.0,100.0
01:01:32,AI MODE: CLEAR (Pass-Through),53.17,0.0,100.0
